Genes	Disease	Inheritance	MIM	Disorder_Group	Project	GenCC
GLB1	Infantile GM1 gangliosidosis	AR	230500	Inherited disorders of metabolism	BabySeq_GroupA	Strong-Genomics England PanelApp
GLB1	GM1 gangliosidosis type 3	AR	230650	Inherited disorders of metabolism	BabySeq_GroupA	Definitive-G2P; Strong-Genomics England PanelApp;Labcorp Genetics (formerly Invitae)
GLB1	GM1 gangliosidosis type 2	AR	230600	Inherited disorders of metabolism	BabySeq_GroupA	Strong-Genomics England PanelApp
GSS	Glutathione synthetase deficiency with 5-oxoprolinuria	AR	266130	Inherited disorders of metabolism	BabySeq_GroupA	Strong-Labcorp Genetics (formerly Invitae)
GSS	Glutathione synthetase deficiency without 5-oxoprolinuria	AR	231900	Inherited disorders of metabolism	BabySeq_GroupA	
KRT14	Epidermolysis bullosa simplex 1C, localized	AD	131800	Skeletal, skin, and connective tissue disorders	BabySeq_GroupA	Strong-Genomics England PanelApp
KRT14	Epidermolysis bullosa simplex, Koebner type	AD	131900	Skeletal, skin, and connective tissue disorders	BabySeq_GroupA	Strong-Genomics England PanelApp;Labcorp Genetics (formerly Invitae)
LAMA3	Epidermolysis bullosa, junctional 2B, severe	AR	619784	Skeletal, skin, and connective tissue disorders	BabySeq_GroupA	
LAMA3	Epidermolysis bullosa, junctional 2A, intermediate	AR	619783	Skeletal, skin, and connective tissue disorders	BabySeq_GroupA	
LAMC2	Epidermolysis bullosa, junctional 3B, severe	AR	619786	Skeletal, skin, and connective tissue disorders	BabySeq_GroupA	
LAMC2	Epidermolysis bullosa, junctional 3A, intermediate	AR	619785	Skeletal, skin, and connective tissue disorders	BabySeq_GroupA	
MPZ	Charcot-Marie-Tooth disease type 2I	AD	607677	Neuromuscular and musculoskeletal disorders	BabySeq_GroupA	
MPZ	Charcot-Marie-Tooth disease type 1B	AD	118200	Neuromuscular and musculoskeletal disorders	BabySeq_GroupA	Definitive-Laboratory for Molecular Medicine; Strong-Labcorp Genetics (formerly Invitae)
MPZ	Charcot-Marie-Tooth disease type 2J	AD	607736	Neuromuscular and musculoskeletal disorders	BabySeq_GroupA	
MPZ	Charcot-Marie-Tooth disease dominant intermediate D	AD	607791	Neuromuscular and musculoskeletal disorders	BabySeq_GroupA	
