Genes	Disease	Inheritance	MIM	Disorder_Group	Project	GenCC
HBB	Sickle cell anemia β-thalassemia	AR	603903	Haematological disorders	ACMG_Carrier_Tier_1	Strong-Labcorp Genetics (formerly Invitae)
HBB	Sickle cell anemia β-thalassemia	AR	613985	Haematological disorders	ACMG_Carrier_Tier_1	Definitive-Ambry Genetics;ClinGen; Strong-Labcorp Genetics (formerly Invitae)
XPC	Xeroderma pigmentosum	AR	278720	Skeletal, skin, and connective tissue disorders	ACMG_Carrier_Tier_1	Definitive-G2P;Myriad Women’s Health;ClinGen; Strong-Genomics England PanelApp;Labcorp Genetics (formerly Invitae)
TYR	Oculocutaneous albinism type 1A	AR	203100	Skeletal, skin, and connective tissue disorders;Inherited disorders of metabolism	ACMG_Carrier_Tier_1	Definitive-G2P;Laboratory for Molecular Medicine; Strong-Labcorp Genetics (formerly Invitae)
TYR	Oculocutaneous albinism type 1B	AR	606952	Skeletal, skin, and connective tissue disorders;Inherited disorders of metabolism	ACMG_Carrier_Tier_1	
CYP21A2	Congenital adrenal hyperplasia due to 21-hydroxylase deficiency	AR	201910	Endocrine disorders;Inherited disorders of metabolism	ACMG_Carrier_Tier_1	Strong-Labcorp Genetics (formerly Invitae); Definitive-Laboratory for Molecular Medicine;Myriad Women’s Health
PAH	Phenylketonuria	AR	261600	Inherited disorders of metabolism	ACMG_Carrier_Tier_1	Definitive-G2P;Myriad Women’s Health;ClinGen; Strong-Labcorp Genetics (formerly Invitae)
CFTR	Cystic fibrosis	AR	219700	Respiratory system disorders	ACMG_Carrier_Tier_1	Definitive-Laboratory for Molecular Medicine;Myriad Women’s Health; Strong-Labcorp Genetics (formerly Invitae)
TNXB	Ehlers–Danlos-like syndrome due to tenascin-X deficiency	AR	606408	Skeletal, skin, and connective tissue disorders	ACMG_Carrier_Tier_1	Strong-PanelApp Australia;Genomics England PanelApp;Labcorp Genetics (formerly Invitae); Definitive-Illumina
HEXA	Tay–Sachs disease	AR	272800	Neurodevelopmental, neurodegenerative, and neurogenetic disorders;Inherited disorders of metabolism	ACMG_Carrier_Tier_1	Definitive-G2P;Myriad Women’s Health;ClinGen; Strong-Genomics England PanelApp;Labcorp Genetics (formerly Invitae)
GJB2	Nonsyndromic hearing loss recessive 1A	AR	220290	Hearing disorders	ACMG_Carrier_Tier_1	Strong-PanelApp Australia;Labcorp Genetics (formerly Invitae); Definitive-Laboratory for Molecular Medicine;G2P
GJB2	Nonsyndromic hearing loss dominant 3A	AR	601544	Hearing disorders	ACMG_Carrier_Tier_1	Strong-Ambry Genetics;Labcorp Genetics (formerly Invitae)
DHCR7	Smith–Lemli–Opitz syndrome	AR	270400	Inherited disorders of metabolism	ACMG_Carrier_Tier_1	Definitive-G2P;Laboratory for Molecular Medicine;Myriad Women’s Health;ClinGen; Strong-Labcorp Genetics (formerly Invitae)
ATP7B	Wilson disease	AR	606882	Inherited disorders of metabolism	ACMG_Carrier_Tier_1	
ASPA	Canavan disease	AR	271900	Inherited disorders of metabolism	ACMG_Carrier_Tier_1	Definitive-G2P;Myriad Women’s Health;ClinGen; Strong-Labcorp Genetics (formerly Invitae)
ACADM	Medium-chain acyl-coenzyme A dehydrogenase deficiency	AR	201450	Inherited disorders of metabolism	ACMG_Carrier_Tier_1	Definitive-G2P;ClinGen; Strong-PanelApp Australia;Labcorp Genetics (formerly Invitae)
NPHS1	Finnish congenital nephrotic syndrome	AR	256300	Renal disorders	ACMG_Carrier_Tier_1	Definitive-G2P;Myriad Women’s Health;ClinGen; Strong-Labcorp Genetics (formerly Invitae)
PMM2	Carbohydrate-deficient glycoprotein syndrome type Ia	AR	212065	Inherited disorders of metabolism	ACMG_Carrier_Tier_1	Strong-PanelApp Australia;Labcorp Genetics (formerly Invitae); Definitive-G2P;ClinGen
FKTN	Cardiomyopathy, dilated, 1X	AR	611615	Cardiac and vascular disorders	ACMG_Carrier_Tier_1	Limited-Ambry Genetics
FKTN	Walker–Warburg congenital muscular dystrophy	AR	253800	Neuromuscular and musculoskeletal disorders	ACMG_Carrier_Tier_1	Strong-Genomics England PanelApp;Labcorp Genetics (formerly Invitae); Definitive-G2P
SLC26A4	Deafness autosomal recessive 4	AR	600791	Hearing disorders	ACMG_Carrier_Tier_1	Strong-PanelApp Australia;Labcorp Genetics (formerly Invitae); Definitive-Ambry Genetics
SLC26A4	Pendred syndrome	AR	274600	Hearing disorders	ACMG_Carrier_Tier_1	Definitive-Ambry Genetics;ClinGen; Strong-Labcorp Genetics (formerly Invitae)
ERCC2	Cerebrooculofacioskeletal syndrome 2	AR	610756	Inherited disorders of metabolism;Eye disorders;Syndromic disease	ACMG_Carrier_Tier_1	Definitive-G2P
ERCC2	Trichothiodystrophy 1, photosensitive	AR	601675	Inherited disorders of metabolism;Syndromic disease	ACMG_Carrier_Tier_1	Strong-Genomics England PanelApp;Labcorp Genetics (formerly Invitae); Definitive-Illumina;G2P
DYNC2H1	Short-rib thoracic dysplasia 3 with or without polydactyly	AR	613091	Complex genetic syndromes	ACMG_Carrier_Tier_1	Definitive-G2P;Ambry Genetics; Strong-Labcorp Genetics (formerly Invitae)
CEP290	Joubert syndrome 5	AR	610188	Neurodevelopmental, neurodegenerative, and neurogenetic disorders	ACMG_Carrier_Tier_2	Definitive-G2P; Strong-Labcorp Genetics (formerly Invitae)
CEP290	Leber congenital amaurosis 10	AR	611755	Neurodevelopmental, neurodegenerative, and neurogenetic disorders;Eye disorders	ACMG_Carrier_Tier_2	Strong-Labcorp Genetics (formerly Invitae)
GBE1	Glycogen storage disease, type IV	AR	232500	Inherited disorders of metabolism	ACMG_Carrier_Tier_2	Strong-Genomics England PanelApp;PanelApp Australia;Labcorp Genetics (formerly Invitae); Definitive-Ambry Genetics;Laboratory for Molecular Medicine;G2P;ClinGen
GBE1	GBE1-related disorders	AR	263570	Inherited disorders of metabolism	ACMG_Carrier_Tier_2	Moderate-Ambry Genetics
GAA	Glycogen storage disease, type II (Pompe disease)	AR	232300	Inherited disorders of metabolism	ACMG_Carrier_Tier_2	Definitive-G2P;Laboratory for Molecular Medicine;ClinGen; Strong-Genomics England PanelApp;PanelApp Australia;Labcorp Genetics (formerly Invitae)
CHRNE	Myasthenic syndrome, congenital, 4A, slow-channel	AR	100725	Neurodevelopmental, neurodegenerative, and neurogenetic disorders;Syndromic disease	ACMG_Carrier_Tier_2	
CHRNE	Myasthenic syndrome, congenital, 4B, fast-channel	AR	100725	Neurodevelopmental, neurodegenerative, and neurogenetic disorders;Syndromic disease	ACMG_Carrier_Tier_2	
G6PC	Glycogen storage disease type IA	AR	232200	Inherited disorders of metabolism	ACMG_Carrier_Tier_2	
OCA2	Oculocutaneous albinism brown and type II	AR	203200	Inherited disorders of metabolism;Skeletal, skin, and connective tissue disorders	ACMG_Carrier_Tier_2	Definitive-Ambry Genetics;G2P;ClinGen; Strong-Labcorp Genetics (formerly Invitae)
COL7A1	Recessive dystrophic epidermolysis bullosa	AR	226600	Skeletal, skin, and connective tissue disorders	ACMG_Carrier_Tier_2	Strong-Genomics England PanelApp;PanelApp Australia; Definitive-G2P;Ambry Genetics;ClinGen
ABCC8	Diabetes mellitus, permanent neonatal 3	AR	618857	Endocrine disorders	ACMG_Carrier_Tier_2	Strong-Genomics England PanelApp;Labcorp Genetics (formerly Invitae); Definitive-Ambry Genetics
ALDOB	Hereditary fructosuria	AR	229600	Inherited disorders of metabolism	ACMG_Carrier_Tier_2	Strong-Genomics England PanelApp;Labcorp Genetics (formerly Invitae); Definitive-Ambry Genetics;Myriad Women’s Health
FANCC	Fanconi anemia, complementation group C	AR	227645	Tumor predisposition syndromes	ACMG_Carrier_Tier_2	Definitive-G2P;Myriad Women’s Health;ClinGen; Strong-Labcorp Genetics (formerly Invitae)
GRIP1	Fraser syndrome	AR	617667	Eye disorders;Syndromic disease	ACMG_Carrier_Tier_2	Strong-Labcorp Genetics (formerly Invitae);G2P; Definitive-ClinGen
BCKDHB	Maple syrup urine disease	AR	245600	Inherited disorders of metabolism	ACMG_Carrier_Tier_2	
ANO10	Spinocerebellar ataxia 10	AR	613728	Neurodevelopmental, neurodegenerative, and neurogenetic disorders	ACMG_Carrier_Tier_2	Moderate-Ambry Genetics; Strong-Labcorp Genetics (formerly Invitae)
NAGA	Schindler disease, type 1	AR	609241	Inherited disorders of metabolism	ACMG_Carrier_Tier_2	Strong-Genomics England PanelApp;Labcorp Genetics (formerly Invitae)
NAGA	Schindler disease, type 3	AR	609241	Inherited disorders of metabolism	ACMG_Carrier_Tier_2	Strong-Genomics England PanelApp;Labcorp Genetics (formerly Invitae)
SMPD1	Niemann–Pick disease, type A	AR	257200	Inherited disorders of metabolism	ACMG_Carrier_Tier_2	Definitive-G2P; Strong-Genomics England PanelApp
SMPD1	Niemann–Pick disease, type B	AR	607616	Inherited disorders of metabolism	ACMG_Carrier_Tier_2	Strong-Genomics England PanelApp;Labcorp Genetics (formerly Invitae)
USH2A	Usher syndrome, type 2A	AR	276901	Hearing disorders	ACMG_Carrier_Tier_2	Strong-PanelApp Australia;Labcorp Genetics (formerly Invitae); Definitive-G2P
MMUT	Methylmalonic aciduria–methylmalonyl–CoA mutase deficiency	AR	251000	Inherited disorders of metabolism	ACMG_Carrier_Tier_2	Definitive-G2P;ClinGen; Strong-Labcorp Genetics (formerly Invitae)
CPT2	Carnitine palmitoyltransferase II deficiency, infantile	AR	600649	Inherited disorders of metabolism	ACMG_Carrier_Tier_2	Strong-PanelApp Australia
CPT2	Carnitine palmitoyltransferase II deficiency, lethal neonatal	AR	608836	Inherited disorders of metabolism	ACMG_Carrier_Tier_2	Strong-PanelApp Australia;Labcorp Genetics (formerly Invitae)
AHI1	Joubert syndrome 3	AR	608629	Neurodevelopmental, neurodegenerative, and neurogenetic disorders	ACMG_Carrier_Tier_2	Definitive-Ambry Genetics;Laboratory for Molecular Medicine;G2P;ClinGen; Strong-Labcorp Genetics (formerly Invitae)
DHDDS	Congenital disorder of glycosylation type 1	AR	613861	Inherited disorders of metabolism	ACMG_Carrier_Tier_3	Limited-PanelApp Australia;Labcorp Genetics (formerly Invitae); Definitive-G2P
DHDDS	Retinitis pigmentosa 59	AR	613861	Neurodevelopmental, neurodegenerative, and neurogenetic disorders;Eye disorders;Inherited disorders of metabolism	ACMG_Carrier_Tier_3	Limited-PanelApp Australia;Labcorp Genetics (formerly Invitae); Definitive-G2P
SLC19A3	Basal ganglia disease, biotin-responsive	AR	607483	Neurodevelopmental, neurodegenerative, and neurogenetic disorders	ACMG_Carrier_Tier_3	Definitive-G2P; Strong-Genomics England PanelApp;Labcorp Genetics (formerly Invitae)
GALT	Galactosemia	AR	230400	Inherited disorders of metabolism	ACMG_Carrier_Tier_3	Definitive-G2P; Strong-Labcorp Genetics (formerly Invitae)
CYP11A1	Adrenal insufficiency, congenital, with 46, XY sex reversal, partial or complete	AR	613743	Endocrine disorders	ACMG_Carrier_Tier_3	Strong-Labcorp Genetics (formerly Invitae)
TF	Atransferrinemia	AR	209300	Haematological disorders	ACMG_Carrier_Tier_3	Strong-Genomics England PanelApp;Labcorp Genetics (formerly Invitae); Limited-Ambry Genetics
MMACHC	Methylmalonic aciduria with homocystinuria cblC type	AR	277400	Inherited disorders of metabolism;Neurodevelopmental, neurodegenerative, and neurogenetic disorders;Haematological disorders	ACMG_Carrier_Tier_3	Definitive-G2P;Myriad Women’s Health;ClinGen; Strong-Labcorp Genetics (formerly Invitae);Ambry Genetics
ABCA3	Surfactant metabolism dysfunction, pulmonary 3	AR	610921	Respiratory system disorders	ACMG_Carrier_Tier_3	Strong-Genomics England PanelApp;Labcorp Genetics (formerly Invitae)
GBA	Gaucher disease, type I	AR	230800	Inherited disorders of metabolism;Cardiac and vascular disorders;Neurodevelopmental, neurodegenerative, and neurogenetic disorders;Skeletal, skin, and connective tissue disorders	ACMG_Carrier_Tier_3	
GBA	Gaucher disease, type II	AR	230900	Inherited disorders of metabolism;Cardiac and vascular disorders;Neurodevelopmental, neurodegenerative, and neurogenetic disorders;Skeletal, skin, and connective tissue disorders	ACMG_Carrier_Tier_3	
MCOLN1	Mucolipidosis type IV	AR	252650	Inherited disorders of metabolism	ACMG_Carrier_Tier_3	Definitive-G2P;Ambry Genetics;Myriad Women’s Health;ClinGen; Strong-Genomics England PanelApp;Labcorp Genetics (formerly Invitae)
GNPTAB	Mucolipidosis type II alpha/beta	AR	252500	Inherited disorders of metabolism	ACMG_Carrier_Tier_3	Strong-PanelApp Australia;Genomics England PanelApp;Labcorp Genetics (formerly Invitae); Definitive-Ambry Genetics
GNPTAB	Mucolipidosis type III alpha/beta	AR	252600	Inherited disorders of metabolism	ACMG_Carrier_Tier_3	Definitive-G2P;Ambry Genetics; Strong-Genomics England PanelApp
AGA	Aspartylglucosaminuria	AR	208400	Inherited disorders of metabolism	ACMG_Carrier_Tier_3	Definitive-G2P;Myriad Women’s Health;ClinGen; Strong-Genomics England PanelApp;Labcorp Genetics (formerly Invitae)
PCDH15	Deafness, autosomal recessive 23	AR	609533	Hearing disorders	ACMG_Carrier_Tier_3	Limited-PanelApp Australia; Definitive-Laboratory for Molecular Medicine; Strong-Labcorp Genetics (formerly Invitae)
PCDH15	Usher syndrome, type 1F	AR	602083	Hearing disorders	ACMG_Carrier_Tier_3	Strong-PanelApp Australia;Labcorp Genetics (formerly Invitae); Definitive-G2P
FAH	Tyrosinemia type I	AR	276700	Inherited disorders of metabolism	ACMG_Carrier_Tier_3	Definitive-G2P;Ambry Genetics;Laboratory for Molecular Medicine;Myriad Women’s Health;ClinGen; Strong-Labcorp Genetics (formerly Invitae)
AIRE	Autoimmune polyendocrinopathy syndrome type I	AR	240300	Endocrine disorders	ACMG_Carrier_Tier_3	Strong-Genomics England PanelApp;PanelApp Australia;Labcorp Genetics (formerly Invitae); Moderate-Ambry Genetics; Definitive-G2P;Myriad Women’s Health
BBS2	Bardet–Biedl syndrome 2	AR	615981	Complex genetic syndromes	ACMG_Carrier_Tier_3	Definitive-G2P;Ambry Genetics;Myriad Women’s Health; Strong-Genomics England PanelApp;Labcorp Genetics (formerly Invitae)
BBS2	Retinitis pigmentosa 74	AR	616562	Neurodevelopmental, neurodegenerative, and neurogenetic disorders;Eye disorders;Inherited disorders of metabolism	ACMG_Carrier_Tier_3	Definitive-G2P; Strong-Labcorp Genetics (formerly Invitae)
CYP27A1	Cerebrotendinous xanthomatosis	AR	213700	Inherited disorders of metabolism	ACMG_Carrier_Tier_3	Strong-Genomics England PanelApp;Labcorp Genetics (formerly Invitae); Definitive-G2P;Myriad Women’s Health
CCDC88C	Congenital hydrocephalus 1	AR	236600	Neurodevelopmental, neurodegenerative, and neurogenetic disorders	ACMG_Carrier_Tier_3	Strong-G2P;Genomics England PanelApp;Labcorp Genetics (formerly Invitae); Moderate-Ambry Genetics
FMO3	Trimethylaminuria	AR	602079	Inherited disorders of metabolism	ACMG_Carrier_Tier_3	Strong-Labcorp Genetics (formerly Invitae)
TMEM216	Joubert syndrome 2	AR	608091	Neurodevelopmental, neurodegenerative, and neurogenetic disorders	ACMG_Carrier_Tier_3	Strong-G2P;Labcorp Genetics (formerly Invitae)
TMEM216	Meckel syndrome 2	AR	603194	Neuromuscular and musculoskeletal disorders	ACMG_Carrier_Tier_3	
CNGB3	Achromatopsia 3	AR	262300	Eye disorders	ACMG_Carrier_Tier_3	Strong-PanelApp Australia;Labcorp Genetics (formerly Invitae); Definitive-G2P
MCPH1	Primary microcephaly 1, recessive	AR	651200	Neurodevelopmental, neurodegenerative, and neurogenetic disorders	ACMG_Carrier_Tier_3	
SLC37A4	Glycogen storage disease Ib	AR	232220	Inherited disorders of metabolism;Haematological disorders	ACMG_Carrier_Tier_3	Strong-Genomics England PanelApp;PanelApp Australia; Definitive-G2P
SLC37A4	Glycogen storage disease Ic	AR	232240	Inherited disorders of metabolism;Haematological disorders	ACMG_Carrier_Tier_3	Strong-Genomics England PanelApp;PanelApp Australia;Labcorp Genetics (formerly Invitae)
PRF1	Hemophagocytic lymphohistiocytosis, familial, 2	AR	603553	Autoimmune, inflammatory, and immunogenetic disorders	ACMG_Carrier_Tier_3	Strong-Labcorp Genetics (formerly Invitae); Definitive-ClinGen
SCO2	Mitochondrial complex IV deficiency, nuclear type 2	AR	604377	Inherited disorders of metabolism	ACMG_Carrier_Tier_3	Definitive-G2P; Strong-Labcorp Genetics (formerly Invitae)
AGXT	Hyperoxaluria, primary type I	AR	259900	Inherited disorders of metabolism	ACMG_Carrier_Tier_3	Definitive-Ambry Genetics;G2P;Myriad Women’s Health; Strong-Labcorp Genetics (formerly Invitae)
ACADVL	Very long chain acyl-CoA dehydrogenase deficiency	AR	201475	Inherited disorders of metabolism	ACMG_Carrier_Tier_4	Definitive-G2P;ClinGen; Strong-PanelApp Australia;Labcorp Genetics (formerly Invitae)
ASL	Argininosuccinate aciduria	AR	207900	Inherited disorders of metabolism	ACMG_Carrier_Tier_4	Definitive-G2P;Ambry Genetics;Myriad Women’s Health;ClinGen; Strong-Labcorp Genetics (formerly Invitae)
EVC2	Chondroectodermal dysplasia	AR	225500	Complex genetic syndromes	ACMG_Carrier_Tier_4	Definitive-Ambry Genetics;Laboratory for Molecular Medicine;Myriad Women’s Health; Strong-Labcorp Genetics (formerly Invitae)
ARSA	Metachromatic leukodystrophy	AR	250100	Inherited disorders of metabolism;Neurodevelopmental, neurodegenerative, and neurogenetic disorders	ACMG_Carrier_Tier_4	Definitive-G2P;Ambry Genetics; Strong-Genomics England PanelApp;Labcorp Genetics (formerly Invitae)
MVK	Hyper-IgD syndrome	AR	260920	Inherited disorders of metabolism	ACMG_Carrier_Tier_4	Definitive-G2P
MVK	Mevalonic aciduria	AR	610377	Inherited disorders of metabolism	ACMG_Carrier_Tier_4	Strong-Labcorp Genetics (formerly Invitae); Definitive-G2P
PKHD1	Autosomal recessive polycystic kidney disease	AR	263200	Renal disorders	ACMG_Carrier_Tier_4	Definitive-G2P;Laboratory for Molecular Medicine; Strong-Genomics England PanelApp;Labcorp Genetics (formerly Invitae)
BTD	Biotinidase deficiency	AR	253260	Inherited disorders of metabolism	ACMG_Carrier_Tier_4	Definitive-G2P;Ambry Genetics;Myriad Women’s Health;ClinGen; Strong-Labcorp Genetics (formerly Invitae)
ALPL	Hypophosphatasia, adult	AR	146300	Skeletal, skin, and connective tissue disorders	ACMG_Carrier_Tier_4	Strong-PanelApp Australia;Labcorp Genetics (formerly Invitae)
ALPL	Hypophosphatasia, childhood and infantile	AR	241510	Skeletal, skin, and connective tissue disorders	ACMG_Carrier_Tier_4	Definitive-Laboratory for Molecular Medicine
BBS1	Bardet–Biedl syndrome 1	AR	209900	Complex genetic syndromes	ACMG_Carrier_Tier_4	Definitive-G2P;Ambry Genetics;Myriad Women’s Health; Strong-Genomics England PanelApp;Labcorp Genetics (formerly Invitae)
CLCN1	Congenital myotonia, autosomal recessive form	AR	255700	Neurodevelopmental, neurodegenerative, and neurogenetic disorders	ACMG_Carrier_Tier_4	Strong-Genomics England PanelApp;Labcorp Genetics (formerly Invitae)
CYP27B1	Vitamin D–dependent rickets, type 1	AR	264700	Skeletal, skin, and connective tissue disorders	ACMG_Carrier_Tier_4	Strong-Labcorp Genetics (formerly Invitae)
POLG	Mitochondrial DNA depletion syndrome 4A	AR	203700	Inherited disorders of metabolism;Neurodevelopmental, neurodegenerative, and neurogenetic disorders	ACMG_Carrier_Tier_4	Definitive-G2P;Ambry Genetics; Strong-Laboratory for Molecular Medicine;Labcorp Genetics (formerly Invitae)
POLG	Mitochondrial DNA depletion syndrome 4B	AR	613662	Inherited disorders of metabolism;Neurodevelopmental, neurodegenerative, and neurogenetic disorders	ACMG_Carrier_Tier_4	
MCCC2	3-methylcrotonyl CoA carboxylase 2 deficiency	AR	210210	Inherited disorders of metabolism	ACMG_Carrier_Tier_4	Definitive-G2P;Ambry Genetics; Strong-Labcorp Genetics (formerly Invitae)
MLC1	Megalencephalic leukoencephalopathy with subcortical cysts	AR	604004	Neurodevelopmental, neurodegenerative, and neurogenetic disorders	ACMG_Carrier_Tier_4	Definitive-G2P;Ambry Genetics;Myriad Women’s Health; Strong-Labcorp Genetics (formerly Invitae)
ACAT1	ɑ-Methylacetoacetic aciduria	AR	203750	Inherited disorders of metabolism	ACMG_Carrier_Tier_4	Definitive-G2P;Ambry Genetics;ClinGen; Strong-PanelApp Australia;Labcorp Genetics (formerly Invitae)
CC2D2A	Joubert syndrome 9	AR	612285	Neurodevelopmental, neurodegenerative, and neurogenetic disorders	ACMG_Carrier_Tier_4	Definitive-G2P; Strong-Genomics England PanelApp;Labcorp Genetics (formerly Invitae)
CC2D2A	Meckel syndrome 6	AR	612284	Skeletal, skin, and connective tissue disorders	ACMG_Carrier_Tier_4	
SLC26A2	Epiphyseal dysplasia, multiple, 4	AR	226900	Inherited disorders of metabolism;Neuromuscular and musculoskeletal disorders	ACMG_Carrier_Tier_4	Definitive-G2P; Moderate-Ambry Genetics
SLC26A2	Achondrogenesis Ib	AR	600972	Inherited disorders of metabolism;Skeletal, skin, and connective tissue disorders	ACMG_Carrier_Tier_4	Definitive-G2P;ClinGen; Moderate-Ambry Genetics
CBS	Homocystinuria, B6 responsive and nonresponsive	AR	236200	Inherited disorders of metabolism	ACMG_Carrier_Tier_4	Definitive-G2P;Myriad Women’s Health;ClinGen; Strong-PanelApp Australia;Genomics England PanelApp;Labcorp Genetics (formerly Invitae)
LRP2	Donnai–Barrow syndrome	AR	222448	Complex genetic syndromes	ACMG_Carrier_Tier_4	Definitive-G2P; Strong-Labcorp Genetics (formerly Invitae)
IDUA	Mucopolysaccharidosis, Ih (Hurler S)	AR	607014	Inherited disorders of metabolism	ACMG_Carrier_Tier_4	Strong-PanelApp Australia;Genomics England PanelApp
IDUA	Mucopolysaccharidosis, Ih/s (Hurler–Scheie S)	AR	607015	Inherited disorders of metabolism	ACMG_Carrier_Tier_4	Strong-Genomics England PanelApp
FKRP	Muscular dystrophy–dystroglycanopathy, type A, 5	AR	613153	Neurodevelopmental, neurodegenerative, and neurogenetic disorders;Neuromuscular and musculoskeletal disorders	ACMG_Carrier_Tier_4	Definitive-G2P; Strong-Genomics England PanelApp; Moderate-Ambry Genetics
FKRP	Muscular dystrophy–dystroglycanopathy, type B, 5	AR	606612	Neurodevelopmental, neurodegenerative, and neurogenetic disorders;Neuromuscular and musculoskeletal disorders	ACMG_Carrier_Tier_4	Strong-Labcorp Genetics (formerly Invitae); Definitive-Myriad Women’s Health
RNASEH2B	Aicardi Goutieres syndrome 2	AR	610181	Neurodevelopmental, neurodegenerative, and neurogenetic disorders	ACMG_Carrier_Tier_4	Definitive-G2P;Ambry Genetics; Strong-PanelApp Australia;Labcorp Genetics (formerly Invitae)
RARS2	Pontocerebellar hypoplasia type 6	AR	611523	Inherited disorders of metabolism;Neuromuscular and musculoskeletal disorders	ACMG_Carrier_Tier_4	Definitive-G2P; Strong-Labcorp Genetics (formerly Invitae);Laboratory for Molecular Medicine;PanelApp Australia;Ambry Genetics
HBA1	ɑ-Thalassemia	AR	604131	Haematological disorders	ACMG_Carrier_Outside_gnomAD	Definitive-Ambry Genetics; Strong-Labcorp Genetics (formerly Invitae)
HBA2	ɑ-Thalassemia	AR	604131	Haematological disorders	ACMG_Carrier_Outside_gnomAD	Strong-Labcorp Genetics (formerly Invitae); Definitive-ClinGen
SMN1	Spinal muscula ratrophy type I	AR	253300	Neuromuscular and musculoskeletal disorders	ACMG_Carrier_Outside_gnomAD	Strong-Genomics England PanelApp; Definitive-Ambry Genetics
SMN1	Spinal muscula ratrophy type II	AR	253550	Neuromuscular and musculoskeletal disorders	ACMG_Carrier_Outside_gnomAD	Strong-Genomics England PanelApp
SMN1	Spinal muscula ratrophy type III	AR	253400	Neuromuscular and musculoskeletal disorders	ACMG_Carrier_Outside_gnomAD	Strong-Genomics England PanelApp
SMN1	Spinal muscula ratrophy type IV	AR	271150	Neuromuscular and musculoskeletal disorders	ACMG_Carrier_Outside_gnomAD	Strong-Genomics England PanelApp;Labcorp Genetics (formerly Invitae)
HPS1	Hermansky Pudlak S. 1	AR	203300	Eye disorders	ACMG_Carrier_Outside_gnomAD	Definitive-G2P;ClinGen; Strong-Labcorp Genetics (formerly Invitae)
HPS3	Hermansky Pudlak S. 3	AR	614072	Eye disorders	ACMG_Carrier_Outside_gnomAD	Strong-Labcorp Genetics (formerly Invitae); Definitive-G2P;ClinGen
ELP1	Familial dysautonomia	AR	223900	Neurodevelopmental, neurodegenerative, and neurogenetic disorders	ACMG_Carrier_Outside_gnomAD	Definitive-G2P
FXN	Friedreich ataxia	AR	229300	Neurodevelopmental, neurodegenerative, and neurogenetic disorders	ACMG_Carrier_Outside_gnomAD	Strong-Labcorp Genetics (formerly Invitae); Definitive-G2P
DLD	Dihydrolipoamide dehydrogenase deficiency	AR	246900	Inherited disorders of metabolism	ACMG_Carrier_Outside_gnomAD	Strong-Genomics England PanelApp;Labcorp Genetics (formerly Invitae);Ambry Genetics; Definitive-G2P;Myriad Women’s Health;ClinGen
NEB	Nemaline myopathy 2	AR	256030	Neuromuscular and musculoskeletal disorders	ACMG_Carrier_Outside_gnomAD	Definitive-G2P;Myriad Women’s Health;ClinGen; Limited-Ambry Genetics; Strong-Labcorp Genetics (formerly Invitae)
CLRN1	Usher syndrome 3a	AR	276902	Hearing disorders	ACMG_Carrier_Outside_gnomAD	Strong-PanelApp Australia;Labcorp Genetics (formerly Invitae); Definitive-G2P
BLM	Bloom syndrome	AR	210900	Tumor predisposition syndromes	ACMG_Carrier_Outside_gnomAD	Definitive-G2P;Myriad Women’s Health;Laboratory for Molecular Medicine;ClinGen; Moderate-Genomics England PanelApp; Strong-Labcorp Genetics (formerly Invitae)
ABCD1	Adrenoleukodystrophy (ALD)	XLR	300100	Inherited disorders of metabolism	ACMG_Carrier_Tier_3	Strong-Labcorp Genetics (formerly Invitae); Definitive-Laboratory for Molecular Medicine; Definitive-G2P;ClinGen
AFF2	Mental retardation, X-linked, associated with fragile site FRAXE	XLR	309548	Neurodevelopmental, neurodegenerative, and neurogenetic disorders	ACMG_Carrier_Tier_3	Strong-Labcorp Genetics (formerly Invitae); Definitive-G2P
ARX	Developmental and epileptic encephalopathy 1 (DEE1)	XLR	308350	Neurodevelopmental, neurodegenerative, and neurogenetic disorders	ACMG_Carrier_Tier_3	
DMD	Muscular dystrophy, Becker type (BMD)	XLR	300376	Neuromuscular and musculoskeletal disorders;Cardiac and vascular disorders	ACMG_Carrier_Tier_3	Definitive-Ambry Genetics
DMD	Muscular dystrophy, Duchenne type (DMD)	XLR	310200	Neuromuscular and musculoskeletal disorders;Cardiac and vascular disorders	ACMG_Carrier_Tier_3	Definitive-Ambry Genetics;G2P; Strong-Labcorp Genetics (formerly Invitae)
F8	Hemophilia A (HEMA)	XLR	300841	Haematological disorders	ACMG_Carrier_Tier_3	
F9	Hemophilia B (HEMB)	XLR	306900	Haematological disorders	ACMG_Carrier_Tier_3	Strong-Labcorp Genetics (formerly Invitae); Definitive-ClinGen
FMR1	Fragile X syndrome (FXS)	XLR	300624	Neurodevelopmental, neurodegenerative, and neurogenetic disorders	ACMG_Carrier_Tier_3	Definitive-Ambry Genetics;G2P;Myriad Women’s Health;ClinGen; Strong-Labcorp Genetics (formerly Invitae)
GLA	Fabry disease	XLR	301500	Inherited disorders of metabolism	ACMG_Carrier_Tier_3	Strong-Genomics England PanelApp;Labcorp Genetics (formerly Invitae); Definitive-G2P;ClinGen
L1CAM	Hydrocephalus due to congenital stenosis of aqueduct of Sylvius (HSAS)	XLR	307000	Neurodevelopmental, neurodegenerative, and neurogenetic disorders	ACMG_Carrier_Tier_3	Strong-Genomics England PanelApp; Definitive-G2P
MID1	Opitz GBBB syndrome, type I (GBBB1)	XLR	3e+05	Eye disorders	ACMG_Carrier_Tier_3	
